                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6921,                 3.0429,                 1.4444,                0.01015,                0.37225,                0.23579,                0.13158,                 1.2285,                 3.2121,                 1.1479,               0.070612,              0.0032653,              0.0032653
                      1,                  1.324,                 1.5214,                 1.1169,                0.93819,                0.19215,                0.39145,                0.22435,                 1.2518,                 2.2412,                 1.1221,               0.040482,               0.006468,               0.006468
                      2,                 1.2805,                 1.2629,                 1.0957,                0.77708,                0.44005,                0.48398,                0.27595,                 1.2116,                 1.3864,                 1.1209,               0.010219,              0.0095387,              0.0095387
                      3,                 1.2649,                 1.2073,                 1.0726,                0.48647,                0.46692,                0.51382,                0.28825,                 1.1705,                 1.2607,                 1.0792,               0.009406,               0.009406,               0.009406
                      4,                 1.2631,                 1.1338,                 1.0634,                0.49938,                0.48513,                0.50479,                0.28715,                 1.2262,                 1.1863,                 1.0681,               0.009406,               0.009406,               0.009406
                      5,                 1.2357,                 1.0552,                 1.0362,                0.62651,                0.50273,                0.51884,                0.30405,                 1.2491,                  1.192,                  1.071,               0.009208,               0.009208,               0.009208
                      6,                 1.2196,                0.97427,                 1.0344,                0.63759,                0.54466,                0.55924,                0.32209,                 1.1699,                 1.0977,                 1.0393,                0.00901,                0.00901,                0.00901
                      7,                 1.1784,                0.93383,                 1.0267,                0.67698,                0.58672,                0.64316,                0.40966,                 1.0728,                   0.94,                0.98861,               0.008812,               0.008812,               0.008812
                      8,                 1.1792,                0.90715,                 1.0201,                0.69778,                0.62558,                0.67201,                0.42722,                 1.0661,                0.85786,                0.98961,               0.008614,               0.008614,               0.008614
                      9,                 1.1577,                0.87787,                 1.0143,                0.88013,                 0.6043,                0.72282,                0.45774,                  1.079,                0.82656,                0.99618,               0.008416,               0.008416,               0.008416
                     10,                 1.1407,                 0.8369,                 1.0011,                0.79109,                0.62995,                0.70023,                0.44432,                 1.1126,                0.80461,                0.99732,               0.008218,               0.008218,               0.008218
                     11,                 1.1468,                0.79813,                0.99946,                0.87201,                0.67991,                0.76934,                0.49451,                 1.0564,                0.73885,                0.97673,                0.00802,                0.00802,                0.00802
                     12,                 1.1031,                0.78961,                0.99953,                0.84861,                0.66319,                 0.7604,                0.49647,                  1.051,                0.74832,                0.96679,               0.007822,               0.007822,               0.007822
                     13,                 1.1217,                0.74898,                0.99639,                 0.8294,                0.72953,                0.78212,                0.48699,                 1.1272,                0.80749,                 1.0051,               0.007624,               0.007624,               0.007624
                     14,                 1.1093,                0.76143,                0.99183,                0.77664,                0.68673,                0.76275,                0.50607,                  1.035,                0.74774,                0.96428,               0.007426,               0.007426,               0.007426
                     15,                 1.1097,                0.73223,                0.98371,                0.82189,                0.66736,                0.76104,                 0.5072,                 1.0205,                  0.668,                0.95684,               0.007228,               0.007228,               0.007228
                     16,                 1.0927,                0.73983,                0.99373,                0.75432,                0.73895,                 0.7683,                0.50099,                 1.0943,                0.72956,                0.99363,                0.00703,                0.00703,                0.00703
                     17,                    1.1,                0.72373,                0.98907,                0.91199,                0.69345,                0.80819,                0.53598,                 1.0049,                0.70088,                0.95754,               0.006832,               0.006832,               0.006832
                     18,                 1.0956,                0.70079,                0.98835,                0.80286,                0.67544,                0.74967,                0.49479,                 1.0738,                0.79338,                0.97041,               0.006634,               0.006634,               0.006634
                     19,                 1.0759,                0.69285,                0.98254,                0.84901,                0.75788,                0.82809,                0.53744,                 1.0187,                0.62161,                 0.9615,               0.006436,               0.006436,               0.006436
                     20,                 1.0639,                0.67964,                0.97618,                0.85707,                0.71115,                0.82153,                 0.5436,                 1.0485,                0.69838,                0.96834,               0.006238,               0.006238,               0.006238
                     21,                 1.0618,                0.66319,                 0.9683,                0.85108,                0.75517,                 0.8148,                 0.5382,                 1.0082,                0.65557,                0.95889,                0.00604,                0.00604,                0.00604
                     22,                 1.0578,                0.65795,                0.97511,                0.91702,                0.74181,                 0.8391,                0.56046,                 1.0149,                0.63294,                0.95184,               0.005842,               0.005842,               0.005842
                     23,                 1.0241,                0.63996,                0.96979,                0.89968,                 0.7412,                0.82073,                0.54417,                 1.0422,                0.62475,                0.97129,               0.005644,               0.005644,               0.005644
                     24,                 1.0151,                0.63287,                0.97427,                0.91245,                 0.7499,                0.83495,                0.55817,                 1.0161,                0.59169,                0.95578,               0.005446,               0.005446,               0.005446
                     25,                 1.0344,                 0.6309,                0.96198,                0.94777,                0.74243,                0.85322,                0.57029,                 1.0038,                0.59637,                 0.9597,               0.005248,               0.005248,               0.005248
                     26,                 1.0292,                0.61759,                0.95611,                0.85037,                 0.7493,                0.83116,                0.55948,                0.98982,                0.64611,                0.94462,                0.00505,                0.00505,                0.00505
                     27,                 1.0111,                0.62317,                 0.9594,                0.91123,                0.77469,                0.85392,                0.57139,                0.99835,                 0.5431,                0.94749,               0.004852,               0.004852,               0.004852
                     28,                 1.0105,                0.60875,                0.96701,                0.90433,                0.76604,                0.85543,                0.57529,                0.97671,                0.54717,                0.94834,               0.004654,               0.004654,               0.004654
                     29,                 1.0002,                0.58957,                0.94778,                0.92421,                0.77828,                0.87961,                0.60281,                 0.9614,                0.54325,                0.92965,               0.004456,               0.004456,               0.004456
                     30,                0.98618,                0.58011,                0.94542,                0.89583,                0.78627,                  0.861,                0.59225,                0.96451,                0.54336,                0.92885,               0.004258,               0.004258,               0.004258
                     31,                0.98942,                0.57944,                0.95193,                0.86351,                0.80913,                0.86336,                0.59167,                 0.9586,                0.51769,                0.93051,                0.00406,                0.00406,                0.00406
                     32,                0.98185,                0.56905,                0.95022,                0.94589,                0.76847,                0.86848,                0.60434,                0.93627,                0.50502,                0.91975,               0.003862,               0.003862,               0.003862
                     33,                0.96548,                0.56447,                0.94303,                0.89864,                0.81613,                 0.8832,                0.60526,                0.94526,                0.50448,                0.92459,               0.003664,               0.003664,               0.003664
                     34,                0.97851,                 0.5522,                 0.9449,                0.89427,                0.81687,                0.87531,                0.60553,                 0.9336,                0.50021,                0.92156,               0.003466,               0.003466,               0.003466
                     35,                0.97574,                0.56466,                0.94267,                0.92831,                0.76911,                0.87796,                0.60074,                 0.9548,                0.50529,                0.92617,               0.003268,               0.003268,               0.003268
                     36,                0.96419,                0.55036,                0.94311,                0.93877,                 0.8218,                0.90065,                0.63747,                0.92593,                 0.4736,                0.91915,                0.00307,                0.00307,                0.00307
                     37,                0.94961,                0.53998,                0.93923,                0.90894,                0.81524,                0.89104,                0.61613,                0.92229,                0.49136,                0.91581,               0.002872,               0.002872,               0.002872
                     38,                0.94561,                0.53542,                0.92989,                0.88998,                0.84061,                0.89705,                0.62671,                0.91433,                0.47422,                0.90806,               0.002674,               0.002674,               0.002674
                     39,                0.94713,                0.52519,                0.92684,                0.90528,                0.86354,                0.90617,                0.63179,                 0.9142,                0.46469,                0.91142,               0.002476,               0.002476,               0.002476
                     40,                0.93453,                0.52696,                0.92779,                 0.9539,                0.79104,                0.90813,                0.63516,                0.91131,                0.46359,                0.91096,               0.002278,               0.002278,               0.002278
                     41,                0.92766,                0.52113,                0.92954,                 0.9115,                0.82856,                0.89526,                0.62652,                0.89288,                0.45266,                0.90276,                0.00208,                0.00208,                0.00208
                     42,                0.92845,                0.52043,                0.92269,                0.95328,                0.80869,                0.89512,                0.63419,                0.88064,                0.45023,                0.90209,               0.001882,               0.001882,               0.001882
                     43,                0.91715,                0.50854,                0.91581,                0.94177,                0.82482,                0.88038,                0.61918,                0.90104,                0.45834,                0.90714,               0.001684,               0.001684,               0.001684
                     44,                0.92419,                0.51236,                0.92517,                 0.9183,                0.81162,                0.89375,                0.63895,                0.86485,                0.44976,                0.89524,               0.001486,               0.001486,               0.001486
                     45,                 0.9091,                0.49261,                0.91654,                0.94016,                0.82376,                0.89248,                0.62583,                0.86942,                0.45804,                0.89341,               0.001288,               0.001288,               0.001288
                     46,                0.89025,                0.49583,                0.91427,                0.92316,                 0.8432,                 0.8878,                0.63389,                0.85324,                0.43606,                 0.8902,                0.00109,                0.00109,                0.00109
                     47,                0.89292,                0.49842,                0.91622,                0.94596,                0.84119,                0.89367,                0.63807,                0.86136,                0.43447,                 0.8938,               0.000892,               0.000892,               0.000892
                     48,                 0.9085,                0.49428,                0.92561,                0.92756,                0.84238,                0.89748,                0.64544,                0.86296,                0.42933,                0.89215,               0.000694,               0.000694,               0.000694
                     49,                0.89567,                0.48724,                0.91746,                0.93964,                0.83238,                0.89896,                0.64687,                0.85277,                0.42565,                0.88995,               0.000496,               0.000496,               0.000496
